city,state,Total_HH,THH_MOE,Total_Unmarried,TU_MOE,Male_Male_HH,MMHH_MOE,Female_Female_HH,FFHH_MOE,All_Other_HH,AOH_MOE
San Jose,CA,581256,3501,32048,2917,1374,425,798,354,549208,4211
Santa Barbara,CA,69523,2490,4351,1096,58,73,93,96,65172,2386
Santa Clarita,CA,82906,2506,4970,1069,39,61,0,200,77936,2640
Santa Cruz,CA,64269,2332,5029,1192,106,135,66,110,59240,2422
Santa Fe,NM,37650,1885,3264,907,228,131,254,178,34386,1915
Santa Maria,CA,38901,1721,3302,1041,0,200,209,199,35599,1750
Santa Rosa,CA,118044,2784,8713,1332,109,137,401,274,109331,3060
Sarasota Bradenton,FL,293228,5463,19232,2238,895,484,940,506,273996,5668
Saratoga Springs,NY,28040,1747,2201,973,82,133,0,189,25839,1859
Savannah,GA,103297,2670,6053,1328,239,194,242,210,97244,2954
Scranton,PA,151957,2878,10126,1568,307,214,242,182,141831,2993
Seaside Monterey,CA,43152,1741,2854,731,100,139,77,90,40298,1902
Seattle,WA,1262581,6857,88369,4740,4028,1010,3070,820,1174212,7474
Sebastian Vero Beach South Florida Ridge,FL,61334,2942,2663,924,52,84,52,86,58671,2886
Sheboygan,WI,29822,1243,2423,712,0,145,146,178,27399,1456
Sherman,TX,24699,1251,1483,554,0,211,128,161,23216,1272
Shreveport,LA,114649,2951,7205,1415,194,193,467,346,107444,2888
Simi Valley,CA,43220,1655,2567,751,0,200,237,237,40653,1915
Sioux City IA NE,SD,39662,1340,3647,1153,408,424,88,146,36015,1420
Sioux Falls,SD,67633,1535,4038,967,35,62,215,236,63595,1650
Slidell,LA,33246,1909,2633,1083,0,201,0,201,30613,1982
South Bend IN,MI,106756,2830,6624,1378,356,296,237,193,100132,2816
South Lyon Howell,MI,47452,1758,1607,538,48,79,41,69,45845,1655
Spartanburg,SC,71360,2442,4040,1028,163,203,247,245,67320,2422
Spokane,WA,156761,2338,11684,1672,79,133,231,157,145077,2776
Springfield,IL,69086,1680,3549,923,192,220,184,150,65537,1825
Springfield,MA,232112,3231,17012,2591,407,326,844,412,215100,3835
Springfield,MO,116578,3164,8424,1604,74,124,219,180,108154,2850
Springfield,OH,35339,1262,2631,742,51,86,0,185,32708,1416
Spring Hill,FL,60104,2245,3533,855,151,145,167,207,56571,2348
State College,PA,30678,1620,1823,693,0,168,117,195,28855,1659
Stockton,CA,118058,2925,12358,1432,72,91,233,222,105700,3055
Sumter,SC,28066,1599,833,460,0,200,44,76,27233,1651
Syracuse,NY,163470,2425,12403,1539,41,67,354,283,151067,2819
Tallahassee,FL,98491,2450,6420,1455,202,225,303,231,92071,2642
Tampa,FL,1014675,7109,75026,4707,4274,856,4246,973,939649,7713
Temple,TX,34298,1814,1628,678,0,211,81,139,32670,1881
Terre Haute,IN,34755,1506,2799,685,19,31,144,187,31956,1650
Texarkana Texarkana TX,AR,30829,1676,1942,678,80,134,0,187,28887,1734
Texas City,TX,42688,2205,2223,762,0,211,225,218,40465,2255
Thousand Oaks,CA,75514,2178,2616,841,42,70,43,71,72898,2173
Toledo,MI,204911,3355,15947,1795,224,161,713,348,188964,3634
Topeka,KS,59319,1680,4195,845,193,188,214,175,55124,1817
Tracy,CA,24748,1340,2188,777,86,86,0,200,22560,1249
Trenton,NJ,106617,2316,4297,1097,49,79,89,104,102320,2212
Tucson,AZ,335235,4854,23826,2802,1066,454,1251,513,311409,4691
Tulsa,OK,268461,2209,15821,1356,294,198,625,319,252640,2719
Turlock,CA,32392,1767,2287,940,263,413,25,43,30105,1834
Tuscaloosa,AL,51011,2286,1547,610,0,189,0,189,49464,2223
Tyler,TX,48032,2479,1347,612,82,149,0,211,46685,2553
Honolulu,HI,265306,2986,16600,2245,933,367,788,465,248706,3258
Utica,NY,45303,1997,3720,852,145,241,75,91,41583,2082
Vacaville,CA,32747,1394,2704,878,0,200,73,123,30043,1624
Valdosta,GA,26653,1510,1005,503,0,211,0,211,25648,1405
Vallejo,CA,59538,1745,3441,798,149,179,187,253,56097,1820
Victoria,TX,23965,1312,2623,731,0,211,117,145,21342,1254
Victorville Hesperia,CA,96089,2953,7934,1677,295,223,437,455,88155,3134
Vineland,NJ,34552,1542,2994,867,0,195,0,195,31558,1789
Virginia Beach,VA,544728,4265,27357,2294,560,299,1528,647,517371,4616
Visalia,CA,70222,2434,6142,1188,179,152,39,64,64080,2565
Waco,TX,64727,1804,2813,843,20,33,130,158,61914,1934
Waldorf,MD,41212,1526,1629,581,69,115,46,80,39583,1592
Warner Robins,GA,51453,2336,2971,1311,223,348,348,497,48482,2568
Washington D.C.,DC,1759593,7576,91800,5445,5422,898,2980,809,1667793,8980
Waterbury,CT,70584,2806,4538,1129,0,197,67,108,66046,2715
Waterloo,IA,45949,1381,2945,794,71,87,0,155,43004,1219
Watsonville,CA,20851,1535,1602,629,0,200,203,237,19249,1583
Wausau,WI,31585,1149,1838,522,0,145,0,145,29747,1244
Weirton Steubenville WV OH,PA,31057,1501,2430,809,0,187,0,187,28627,1511
Wenatchee,WA,25105,1662,1887,677,0,193,104,144,23218,1578
West Bend,WI,29850,1318,2199,796,173,267,73,86,27651,1432
Westminster Eldersburg,MD,25595,1402,1117,483,0,193,43,70,24478,1411
Wheeling,OH,34988,1727,2935,963,0,187,43,71,32053,1688
Wichita,KS,181455,3170,10212,1468,55,90,338,203,171243,3197
Wichita Falls,TX,34193,1945,2165,689,56,100,64,72,32028,1718
Williamsburg,VA,31286,1472,859,414,0,195,0,195,30427,1451
Wilmington,NC,98205,2637,6028,1473,297,325,175,174,92177,2704
Winchester,VA,27326,1410,2070,805,0,195,0,195,25256,1518
Winston-Salem,NC,160512,2726,7376,1317,337,204,195,161,153136,2979
Winter Haven,FL,74912,3157,5569,1258,81,132,225,234,69343,3191
Worcester,MA,183178,3947,10816,1657,380,220,430,251,172362,4055
Yakima,WA,46667,1482,3559,949,0,193,97,120,43108,1505
York,PA,92019,2258,6022,1089,215,186,48,85,85997,2585
Youngstown,PA,159830,3667,11175,1830,13,21,344,272,148655,3975
Yuba City,CA,39861,1607,2868,798,0,200,0,200,36993,1581
Yuma,CA,51402,1661,3382,906,0,187,102,96,48020,1752
