city,state,Total_HH,THH_MOE,Total_Unmarried,TU_MOE,Male_Male_HH,MMHH_MOE,Female_Female_HH,FFHH_MOE,All_Other_HH,AOH_MOE
Las Cruces,NM,49986,2038,4776,1627,397,590,437,619,45210,2213
Las Vegas ,NV,706422,5601,59311,4043,1737,555,1914,699,647111,6144
Lawrence,KS,36482,1427,2396,782,0,168,119,135,34086,1531
Lawton,OK,31728,1822,2585,868,47,76,69,114,29143,1901
Lebanon,PA,29090,1573,2362,703,0,168,0,168,26728,1556
Leesburgstisvares,FL,54572,2448,3500,1108,67,109,254,212,51072,2139
Leominstertchburg,MA,46047,1840,3816,1115,69,112,0,198,42231,2050
Lexington-Fayette,KY,125624,1962,9491,1601,347,257,368,192,116133,2287
Lima,OH,28346,1323,1797,583,0,185,0,185,26549,1400
Lincoln,NE,108773,1649,7878,1172,139,160,389,290,100895,1965
Littleck,AR,173012,3377,6057,1126,213,206,182,158,166955,3511
Livermore,CA,31333,1521,1923,707,0,200,73,120,29410,1541
Lodi,CA,25059,1362,1724,650,0,200,122,191,23335,1505
Logan,UT,30243,1278,746,349,0,184,0,184,29497,1269
Longmont,CO,34965,1757,2411,761,0,192,0,192,32554,1729
Longview,TX,37788,1660,2550,833,58,75,0,211,35238,1880
Longview,OR,25882,1395,2477,787,42,77,41,68,23405,1345
Lorain Elyria,OH,69949,2484,5949,1086,38,61,70,127,64000,2412
Los Angeles,CA,4033754,12845,274860,6338,10831,1540,6880,1117,3758894,13411
Louisville-Jefferson,KY,396561,4512,26751,2320,430,258,989,421,369810,4522
Lubbock,TX,96525,1936,5973,1292,254,378,256,216,90552,2468
Lynchburg,VA,44392,1634,1623,762,0,195,50,85,42769,1611
McAllen,TX,211407,3589,8258,1824,261,248,177,247,203149,4471
McKinney,TX,69036,2395,2836,929,0,211,0,211,66200,2561
Macon,GA,49836,1780,2661,833,0,211,31,54,47175,2025
Madison,WI,176915,2712,15812,1990,464,293,809,476,161103,3361
Manchester,NH,62065,2180,6533,1122,203,165,163,261,55532,2228
Mandeville Covington,LA,35331,1934,1619,731,42,49,70,113,33712,1873
Mansfield,OH,29405,1720,2080,641,0,185,31,51,27325,1825
Manteca,CA,29979,2176,1874,759,0,200,0,200,28105,2140
Marysville,WA,56086,2263,3370,724,0,193,0,193,52716,2188
Mauldin Simpsonville,SC,47322,2122,2102,780,0,200,0,200,45220,2281
Medford,OR,62896,2193,5406,1508,0,197,169,196,57490,2420
Memphis ,TN,397505,3980,22984,2730,412,275,508,399,374521,4451
Merced,CA,44384,1798,4280,1134,38,69,0,200,40104,1877
Miami,FL,2029788,9750,130487,6413,6886,1188,3614,836,1899301,11612
Michigan City La Porte IN,MI,25742,1563,2563,937,0,187,0,187,23179,1544
Middletown,OH,37630,1986,3661,779,0,185,144,171,33969,1916
Midland,TX,44870,1764,2342,1036,0,211,49,81,42528,2030
Milwaukee,WI,555836,3517,35040,2801,801,311,1606,478,520796,3984
Minneapolis,MN,1080039,5502,76852,4675,2735,613,2158,629,1003187,6618
Mission Viejo Lake Forest San Clemente,CA,220418,3675,9274,1589,307,222,125,152,211144,3785
