city,state,hisp_count,hisp_MOE
Philadelphia,PA,403041,1912
Phoenix,AZ,915103,4268
Pinetop-Lakeside,AZ,1724,499
Pittsburg,KS,1440,152
Pittsburg,TX,1360,251
Pittsburgh,PA,22262,447
Pittsfield,MA,2089,308
Pixley,CA,2483,520
Placerville,CA,4098,631
Placid Lakes,FL,3183,860
Plainview,TX,15261,574
Planada,CA,3838,561
Plano,IL,2245,493
Plattsburgh,NY,760,192
Pleasanton,TX,6449,593
Plymouth,IN,1750,427
Pocatello,ID,4577,215
Poinciana,FL,12164,1340
Pojoaque,NM,2801,314
Ponca City,OK,2151,343
Ponce,PR,179822,1497
Pontiac,IL,782,220
Portales,NM,5699,416
Port Arthur,TX,21812,1098
Porterville,CA,43223,1792
Port Huron,MI,2911,362
Port Isabel,TX,7568,803
Port Jervis NY,PA,1173,390
Portland,ME,4252,407
Portland,OR,192360,1769
Port Lavaca,TX,6744,505
Port Royal,PA,337,93
Port St. Lucie,FL,47708,1104
Portsmouth NH,ME,941,233
Post,TX,3153,428
Poteet,TX,2769,216
Pottstown,PA,2152,466
Pottsville,PA,515,164
Poughkeepsie Newburgh,NY,55117,1407
Prattville,AL,916,270
Premont,TX,2221,201
Prescott,AZ,10212,977
Presidio,TX,4318,272
Price,UT,1856,140
Prineville,OR,1145,246
Prosser,WA,1768,324
Providence RI,MA,132529,977
Provo Orem,UT,37368,1198
Pueblo,CO,57530,759
Pukalani Makawao Haiku-Pauwela,HI,2476,607
Pullman,WA,1615,127
Pupukea Waialua,HI,1637,441
Purcell,OK,1053,292
Queen Creek,AZ,3178,679
Quincy,WA,4778,337
Racine,WI,19374,383
Radcliff Elizabethtown,KY,3949,399
Raleigh,NC,62512,1674
Ramona,CA,7571,1103
Rantoul,IL,1097,418
Rapid City,SD,2782,358
Raton,NM,4029,244
Rawlins,WY,1705,282
Raymond,WA,822,268
Raymondville,TX,9815,488
Reading,PA,57706,638
Red Bluff,CA,4598,600
Redding,CA,9671,468
Redland,FL,1748,757
Redmond,OR,2500,645
Reedley Dinuba,CA,34469,948
Refugio,TX,1483,176
Reno,NV,77882,1408
Rexburg,ID,1007,303
Richgrove,CA,2559,335
Richmond IN,OH,1575,119
Richmond,KY,1182,303
Richmond,VA,49265,629
Ridgecrest,CA,4434,681
Ridgeland,SC,432,197
Rifle,CO,2895,673
Rio Bravo,TX,8180,80
Rio Grande City,TX,19372,1248
Rio Vista,CA,941,329
Riverhead,NY,5133,1166
Riverside San Bernardino,CA,949050,6533
Roanoke,VA,6695,283
Robstown,TX,11381,725
Rochelle,IL,2962,306
Rochester,MN,4944,223
Rochester,NY,49103,437
Rockdale,TX,1671,405
Rockford,IL,36302,748
Rock Hill,SC,3522,616
Rockingham,NC,927,286
Rockport,TX,3824,500
Rock Springs,WY,3366,392
Rocky Ford,CO,2476,311
Roma,TX,17433,965
Rome,GA,7937,242
Rome,NY,1098,316
Rosamond,CA,5717,979
Roseburg,OR,2224,384
Roswell,NM,25357,618
Round Lake Beach McHenry Grayslake IL,WI,36110,1680
Royse City,TX,1329,371
Ruidoso,NM,2526,383
Rupert,ID,1711,315
Russellville,AL,2565,340
Russellville,AR,4130,439
Sacramento,CA,293862,2448
Safford,AZ,5462,454
Saginaw,MI,12457,556
St. Anthony,ID,654,206
St. Augustine,FL,2700,450
St. Cloud,MN,1572,328
St. George,UT,9511,504
St. Helena,CA,1375,318
St. Helens,OR,1259,208
St. Joseph,MO,4100,102
St. Louis,MO,56168,648
St. Marys Kingsland,GA,1529,283
St. Pauls,NC,536,280
Salem,OR,49053,1403
Salina,KS,4795,73
Salinas,CA,119932,1840
Salisbury,MD,3256,313
Salisbury,NC,3925,837
Salt Lake City,UT,155780,1137
San Angelo,TX,35040,472
San Antonio,TX,860419,3059
San Diego,CA,873505,2994
San Diego,TX,4756,534
Sandusky,OH,1466,327
Sandwich,IL,1070,395
Sanford,NC,7436,536
San Francisco,CA,686070,2501
Sanger,CA,19992,1096
Sanger,TX,811,329
San Germ�n Cabo Rojo Sabana Grande,PR,114124,1389
San Joaquin,CA,3765,146
San Jose,CA,403971,2694
San Juan,PR,2170592,2838
San Luis,AZ,20305,585
San Luis Obispo,CA,7060,706
San Manuel,AZ,2333,714
San Marcos,TX,23585,1341
San Saba,TX,1221,129
Santa Barbara,CA,58798,1552
Santa Clarita,CA,56905,1974
Santa Cruz,CA,25869,1102
Santa Fe,NM,48047,1013
Santa Isabel,PR,12432,763
Santa Maria,CA,73358,1642
Santa Paula,CA,23340,692
Santaquin,UT,980,416
Santa Rosa,CA,77986,1830
Santa Rosa,NM,1956,254
Saranac Lake,NY,682,140
Sarasota Bradenton,FL,61975,1279
Saratoga Springs,NY,1427,331
Savannah,GA,10182,583
Schulenburg,TX,610,216
Schuyler,NE,3481,130
Scottsbluff,NE,5695,279
Scranton,PA,14950,721
Seaford,DE,1593,519
Sealy,TX,1623,400
Searcy,AR,1033,263
Seaside,OR,699,240
Seaside Monterey Marina,CA,25836,1275
Seattle,WA,256967,1772
Sebring Avon Park,FL,9361,894
Sedalia,MO,2060,276
Seguin,TX,13259,820
Selma,CA,26423,1030
Seminole,TX,2493,341
Sevierville,TN,1980,469
Seymour,IN,1901,128
Shafter,CA,11338,776
Shallowater,TX,982,286
Shamokin,PA,616,280
Shawnee,OK,1598,297
Sheboygan,WI,4927,249
Shelbyville,IN,1169,137
Shelbyville,KY,2728,279
Shelbyville,TN,3947,443
Shelton,WA,2246,473
Shenandoah Frackville,PA,1019,243
Sherman,TX,8749,590
Shreveport,LA,9634,535
Sierra Vista,AZ,10313,896
Siler City,NC,4785,447
Siloam Springs AR,OK,3274,608
Silver City,NM,5501,598
Silverthorne,CO,2472,441
Silverton,OR,2269,569
Simi Valley,CA,28222,1301
Sinton,TX,4324,571
Sioux City IA NE,SD,19073,347
Sioux Falls,SD,5957,360
Slaton,TX,2772,511
Slidell,LA,4512,512
Smithfield,NC,3697,730
Smithville,TX,786,309
Smyrna,DE,1011,328
Snyder,TX,4428,259
Socorro,NM,4541,468
Soledad,CA,13240,410
Solvang Buellton,CA,4195,817
Somerton,AZ,11308,706
Sonoma,CA,8290,1248
Sonora,CA,1194,289
Sonora,TX,2206,300
South Bend IN,MI,19284,425
Southern Pines Pinehurst,NC,1496,482
South Lake Tahoe,NV,7806,732
South Lyon Howell Brighton,MI,2340,467
Southold,NY,1169,459
Spanish Fork,UT,6287,908
Spartanburg,SC,9497,905
Spearman,TX,1679,158
Spokane,WA,16012,533
Spring Creek,NV,973,337
Springfield,IL,3036,123
Springfield MA,CT,98934,1103
Springfield,MO,7703,422
Springfield,OH,1675,394
Spring Hill,TN,900,281
Springs,NY,4478,998
Stamford,TX,999,272
Stanfield,OR,723,224
Stanton,TX,1483,289
State College,PA,3099,150
Statesboro,GA,1199,284
Statesville,NC,3705,776
Stayton,OR,1342,516
Stephenville,TX,2287,439
Sterling,CO,2881,172
Sterling,IL,5425,190
Stevens Point,WI,932,172
Stillwater,MN,1108,315
Stillwater,OK,1521,288
Stockton,CA,147034,2693
Storm Lake,IA,3683,158
Storrs,CT,1368,269
Streator,IL,1668,426
Sturgis,MI,2335,375
Sullivan City,TX,5147,463
Sulphur Springs,TX,1887,432
Sultan,WA,517,203
Sumter,SC,2114,402
Sunnyside,WA,13783,801
Superior,AZ,1708,245
Susanville,CA,1109,347
Sweetwater,TX,4020,198
Syracuse,NY,16176,491
Taft,CA,3910,831
Taft,TX,4106,434
Tahlequah,OK,1591,301
Tahoka,TX,1202,140
Tallahassee,FL,12618,419
Tama,IA,828,115
Tampa,FL,345545,2723
Taos,NM,6921,821
Taylor,TX,5063,600
Tehachapi,CA,3497,719
Tehama,CA,804,332
Temecula Murrieta,CA,96432,3133
Temescal Valley,CA,1760,473
Temple,TX,17159,1197
Terra Bella,CA,2506,468
Terre Haute,IN,1776,196
Terrell,TX,3981,606
Texarkana TX,AR,4392,472
Texas City,TX,24529,1498
Thermal,CA,1947,673
The Woodlands,TX,13996,1405
Thousand Oaks,CA,36099,1719
Tifton,GA,1699,510
Tillamook,OR,1401,281
Titusville,FL,2969,611
Toledo,OH,27119,565
Tomball,TX,4626,841
Tonkawa,OK,235,89
Tooele,UT,3406,489
Topeka,KS,16649,323
Toppenish,WA,8754,695
Tornillo,TX,2059,286
Torrington,CT,2785,571
Torrington,WY,1036,51
Tracy,CA,28199,1736
Tremonton,UT,1152,310
Trenton,NJ,42492,984
Trinidad,CO,4991,241
Truckee,CA,1975,537
Truth or Consequences,NM,2029,438
Tucson,AZ,276706,1964
Tucson South (Arizona State Prison Complex),AZ,1818,261
Tucson Southeast,AZ,2042,495
Tucumcari,NM,2931,170
Tulare,CA,31206,1192
Tularosa,NM,1449,335
Tulia,TX,2090,223
Tulsa,OK,58681,982
Tupelo,MS,1566,282
Turlock,CA,32080,1616
Tuscaloosa,AL,4608,234
Twentynine Palms,CA,2437,538
Twentynine Palms Base,CA,2301,389
Twin Falls,ID,5047,471
Tyler,TX,22610,1063
Ukiah,CA,8602,758
Ulysses,KS,2911,118
Unalaska,AK,605,395
Union City,IN,606,135
Union City,TN,827,93
Utica,NY,7540,383
Utuado,PR,18964,1143
Uvalde,TX,13544,643
Vacaville,CA,19399,1313
Vado,NM,2739,641
Valdosta,GA,2157,419
Vallejo,CA,33833,1488
Val Verde,CA,4822,972
Vernal,UT,922,256
Vernon,TX,2661,219
Vero Beach Sebastian,FL,9284,559
Victoria,TX,28593,770
Victorville Hesperia Apple Valley,CA,108276,3057
Vieques (Vieques Municipio),PR,7499,417
Vineland,NJ,26432,836
Virginia Beach,VA,77963,615
Visalia,CA,65752,1919
Waco,TX,43086,832
Walla Walla,WA,7957,504
Walsenburg,CO,1775,135
Walworth,WI,807,297
Wapato,WA,5567,512
Warner Robins,GA,6756,458
Warren,AR,917,192
Warrenton,VA,1033,362
Warsaw,IN,3119,379
Warsaw,NC,557,208
Warwick,NY,1035,344
Wasco,CA,15300,724
Wasco West (Wasco State Prison),CA,2474,212
Washington,DC,631811,2257
Washington,IN,1151,88
Washington,IA,752,110
Washington,NJ,786,274
Washington,NC,1699,386
Wasilla,AK,1291,261
Waterbury,CT,38808,1738
Waterford,CA,3430,489
Waterloo,IA,4120,166
Watertown,NY,3881,361
Watertown,WI,1373,423
Watonga,OK,1318,433
Watsonville,CA,52670,1280
Wauchula,FL,7769,677
Wausau,WI,1306,226
Wauseon,OH,1235,319
Waxahachie,TX,5779,721
Waycross,GA,1040,117
Waynesville,MO,2777,368
Weatherford,TX,3457,707
Weiser ID,OR,1424,116
Wenatchee,WA,14774,991
West,TX,559,239
West Columbia,TX,865,334
Westerly RI,CT,973,294
West Jupiter,FL,650,218
West Liberty,IA,1858,255
West Livingston (Terrell Unit),TX,843,252
West Wendover NV,UT,2988,545
Wharton,TX,2783,431
Wheeling WV,OH,737,148
White Rock,NM,828,168
Wichita,KS,55933,801
Wichita Falls,TX,17493,517
Wichita Falls West (Allred Unit),TX,1253,194
Wildwood North Wildwood Cape May,NJ,3468,483
Willard,OH,1259,284
Willcox,AZ,1651,392
Williams,CA,3574,473
Williamsport,PA,993,130
Willimantic,CT,8228,521
Willis,TX,2681,868
Willmar,MN,3957,168
Willows,CA,2049,396
Wilmer,TX,1925,418
Wilmington,NC,9991,607
Wilson,NC,4460,527
Winchester,VA,6886,466
Windsor,CO,1053,358
Winfield,KS,778,214
Winnemucca,NV,2138,458
Winslow,AZ,2817,349
Winston-Salem,NC,35844,903
Winter Haven,FL,26917,1675
Winters,CA,3586,503
Winters,TX,967,165
Woodburn,OR,20558,1230
Woodlake,CA,6819,369
Woodland,CA,23255,1040
Woodridge,NY,1570,347
Woodstock,IL,5189,627
Woodward,OK,1195,242
Worcester MA,CT,48919,1354
Worthington,MN,3853,186
Yadkinville,NC,753,228
Yakima,WA,40471,1345
Yauco,PR,100807,1278
Yelm,WA,870,457
Yoakum,TX,2718,314
York,PA,17380,758
Youngstown OH,PA,12256,316
Yreka,CA,833,225
Yuba City,CA,32147,1011
Yucca Valley,CA,3607,711
Yuma AZ,CA,58029,1437
Yuma,CO,1305,197
Zapata,TX,9893,640
Zebulon Wendell,NC,1362,494
Zephyrhills,FL,6549,972
