city,state,hisp_count,hisp_MOE
Chowchilla East (Valley State Prison),CA,1525,411
Cincinnati OH KY,IN,41148,757
Citrus Ridge,FL,2284,747
City of The Dalles OR,WA,2910,259
Claremore,OK,1102,354
Clarksville,AR,1381,329
Clarksville TN,KY,10972,703
Clayton,NC,2099,596
Clearlake,CA,3416,693
Cleburne,TX,9511,832
Clemson,SC,1357,423
Clermont,FL,7055,850
Cleveland,OH,68628,668
Cleveland,TN,3485,250
Cleveland,TX,2117,527
Clewiston,FL,6147,2058
Clifton,AZ,2585,264
Clifton,TX,837,259
Clinton IA,IL,843,121
Clinton,NC,1147,410
Clinton,OK,2310,289
Cloverdale,CA,2315,478
Clovis,NM,15485,564
Coalinga,CA,4469,396
Coamo,PR,47959,1377
Coeur d'Alene,ID,3376,380
Coldwater,MI,952,241
College Station Bryan,TX,35707,891
Colorado City,TX,2764,153
Colorado Springs,CO,74838,1346
Columbia,MO,3998,326
Columbia,SC,22762,980
Columbia,TN,2115,435
Columbus,GA,13828,466
Columbus,IN,3784,325
Columbus,NE,3084,254
Columbus,OH,50484,485
Columbus,TX,1068,314
Colusa,CA,3338,342
Comanche,TX,1522,244
Comfort,TX,1356,385
Concord,CA,77493,2307
Concord,NH,1293,204
Concord,NC,16404,1059
Connell,WA,1578,356
Conroe,TX,19323,1118
Conway,AR,2386,440
Cookeville,TN,1727,486
Coolbaugh township,PA,2441,719
Coolidge,AZ,2755,631
Coos Bay,OR,2457,226
Copperopolis (Sierra Conservation Center),CA,1787,216
Corcoran,CA,15872,644
Cornelia,GA,3994,460
Corning,CA,3095,641
Corpus Christi,TX,180130,1416
Corsicana,TX,7513,454
Cortez,CO,1481,262
Corvallis,OR,4540,216
Cottonwood,AZ,6361,950
Cotulla,TX,3917,324
Coxsackie,NY,1003,296
Craig,CO,1477,156
Crane,TX,1949,219
Crawfordsville,IN,901,193
Crescent City,CA,2424,345
Crestline,CA,3360,1007
Crestview,FL,1562,390
Crete,NE,2107,241
Crockett,TX,1328,330
Crookston,MN,818,189
Crystal City,TX,5919,536
Cuero,TX,3040,383
Cullman,AL,1617,442
Culpeper,VA,2558,406
Cumberland MD WV,PA,645,186
Cypress,TX,909,291
Dacono,CO,1998,414
Dalhart,TX,2368,206
Dallas,TX,1368177,3218
Dalton,GA,26001,1071
Danbury CT,NY,23965,1364
Dannemora,NY,548,104
Danville,IL,2073,322
Danville,VA,1252,244
Davenport, IA,23937,304
Davis,CA,9047,947
Dayton,NV,1597,719
Dayton,OH,15186,565
Dayton,TX,1598,351
Daytona Beach Port Orange,FL,10311,1108
Decatur,AL,6691,594
Decatur,IL,1842,89
Decatur,IN,1002,189
Decatur,TX,1910,420
Defiance,OH,2250,254
DeKalb,IL,7121,559
Delano,CA,29056,1309
Delavan,WI,2166,428
Delaware,OH,850,310
Del Rio,TX,34255,928
Delta,CO,2115,290
Deltona,FL,36362,1296
Deming,NM,10157,516
Denison,IA,3108,149
Denton Lewisville,TX,63264,2053
Denver Aurora,CO,492606,1976
Denver City,TX,3005,289
De Queen,AR,2923,445
De Ridder,LA,601,112
Desert Hot Springs,CA,17508,1428
Des Moines,IA,28594,491
Detroit,MI,146503,902
Devine,TX,3926,607
Diboll,TX,2255,431
Dilley,TX,2723,358
Dimmitt,TX,2845,201
Dixon,CA,7298,742
Dixon,IL,970,204
Dodge City,KS,14728,364
Dos Palos,CA,5236,728
Dothan,AL,1993,252
Douglas,AZ,14757,828
Douglas,GA,1017,466
Dover,DE,4459,628
Dover Rochester NH,ME,1543,225
Dublin,TX,1372,353
Dubuque IA,IL,1347,177
Duluth MN,WI,1738,237
Dumas,TX,7459,332
Duncan,OK,1988,259
Dunkirk Fredonia,NY,3533,388
Dunn,NC,652,269
Durango,CO,1697,388
Durham,NC,36823,682
Eagar,AZ,1207,354
Eagle,CO,1333,482
Eagle Lake,TX,1776,214
Eagle Pass,TX,44357,1027
Earlimart,CA,5538,629
East Stroudsburg,PA,5139,806
Eau Claire,WI,1530,148
Edgewood,NM,922,329
Edna,TX,1769,277
Egg Harbor City,NJ,1648,445
El Campo,TX,5814,496
El Centro,CA,44933,1202
Elgin,TX,3312,705
Elizabeth City,NC,1199,190
Elkhart IN,MI,23258,943
Elkhorn,WI,938,432
Elkin,NC,1310,436
Elko,NV,4132,546
Ellensburg,WA,1362,309
Ellenville,NY,2483,423
Ellijay,GA,999,312
Elmira,NY,1997,132
Eloy,AZ,6202,841
El Paso,TX,585270,3028
El Reno,OK,2236,335
Emporia,KS,6352,250
Enid,OK,4188,173
Ennis,TX,6436,699
Enterprise,AL,3131,394
Erie,PA,7362,276
Escalon,CA,1792,249
Espanola,NM,19076,938
Eugene,OR,19797,595
Eunice,NM,1289,244
Eureka,CA,4212,582
Evanston,WY,1333,120
Evansville,IN,4792,182
Everson,WA,746,256
Fabens,TX,6998,860
Fairbanks,AK,3403,462
Fairfield,CA,30946,1334
Fairfield Southwest,CA,1637,402
Fajardo,PR,71917,931
Falfurrias,TX,4621,446
Fallon,NV,1798,505
Fargo ND,MN,4011,254
Faribault,MN,3429,342
Farmington,NM,13442,866
Fayetteville,NC,27372,682
Fayetteville Springdale,AR,43219,1709
Fellsmere,FL,3279,501
Fernley,NV,2093,654
Fillmore,CA,10419,539
Findlay,OH,2377,280
Firebaugh,CA,6638,319
Flagstaff,AZ,12636,611
Flint,MI,10940,454
Florence,AL,1786,366
Florence,AZ,8896,699
Florence,SC,1193,361
Floresville,TX,3855,379
Florida Barceloneta Bajadero,PR,67526,1681
Floydada,TX,1704,208
Fond du Lac,WI,2605,359
Forest,MS,1283,384
Forest City,NC,1253,309
Forney,TX,877,290
Fort Atkinson,WI,1957,400
Fort Bragg,CA,2449,514
